Company,Total Funding,Funding Rounds,Founders
100ms,null,null,"['Kshitij Gupta', 'Aniket Behera']"
10Times,null,null,"['Atul Todi', 'Mayank Chowdhary']"
10xConstruction.ai,null,null,"['Tushar Makkar', 'Ashish Daga']"
1DigitalStack.ai,null,null,"['Abhishek Ranjan', 'Gyan Rai', 'Vivek Kapoor']"
1dot,null,null,"['Maisum Walji', 'Muhammad Walji', 'LUCIA DOT']"
26ideas,null,null,['Vinay B']
3S Smart Ship,null,null,['Deepansh Jain']
50Fin,null,null,['ADITYA SRINIVAS PRASAD']
91 Wheels,null,null,"['RAHUL KUMAR', 'Sannidhi Goel']"
9AI,null,null,"['Aaditya Saini', 'Kaustub dutt Pandey', 'Siya Sharma']"
A618Labs,null,null,['Vijay Gorfad']
Aabhra,null,null,['Partha Nageswaran']
Aarogram,null,null,['Kashyap Purani']
AarogyaID,null,null,['Vedanth p']
AB InBev,null,null,"['Selçuk Güçer', 'João Paulo Ferreira Da Silva', 'Suryanarayana Gabbita']"
Absolute Intelligence,null,null,['Sunny Chawla']
AccioMatrix,null,null,['Kaushika Rakesh']
AccionLabs,null,null,"['Jayasri P', 'Anjali Mohandas', 'Samson B']"
Accountant AI,null,null,['Vikrant Dubey']
ACES,null,null,"['Gary Huggins', 'Roxane Minkus, Ph.D., C.R.C.']"
Acorn Globus,null,null,"['Tarun bhukya', 'Ankit Singhaniya']"
AcquiredLang,null,null,['Gold Hassan']
Active Resource Consultancy,null,null,"['Ramya Raghunath', 'Ramya Raghunath']"
Actuals,null,null,['T Venkatesh']
Acuver Consulting,null,null,['Shafiya Naaz']
Adpushup Software India,null,null,"['Sakshi Singh', 'Asma M', 'Shivam Marwaha']"
Adri AI,null,null,"['Shyam Swaroop', 'Dibas Kumar Borborah']"
AffinityAnswers,null,null,"['Maya Venkatesh', 'Sri Sai Pavan Chunduri', 'Josh Raper']"
Affinix Digital,null,null,['Ranjeet Ahire']
Aftermarkett,null,null,['Harsh Singh']
AgNext Technologies,null,null,['Navish Kumar']
Agoda,null,null,"['Skylar Thompson', 'Anang Dista Satria', 'Zuzana Arvin']"
AI47Labs,null,null,['Ashok Pundit']
Aicade,null,null,['Pushkar Kumar']
AIClues,null,null,"['Rohit Raj', 'R K']"
Aindra Systems,null,null,['Adarsh Natarajan']
Airveda,null,null,"['Avinash Bhagat', 'Namita Gupta']"
Aizen Styles,null,null,['Pratham Garg']
Ajaco Softwares,null,null,"[""Ajaco Software's""]"
Ajastos Film Technology Labs,null,null,['rakesh vanka']
Aladaii,null,null,['Swatilakha Saha']
Algogi Technologies,null,null,"['Aditi Priya', 'Shruti Singh', 'Jayant Raj Singh']"
AlignBooks,null,null,['Align Books']
Alldigitech,null,null,"['Madan Mohan Thakur', 'Chanchal Sharma', 'Anubhav Kumar Dubey']"
Allo Health,null,null,"['Mayank Singh', 'nihit verma', 'Manoj DM']"
All Time Design,null,null,"['All time design', 'Prem Kumar']"
Aloha Protocol,null,null,['Suhas Pai']
Alphabrains,null,null,['Shivam Agrawal']
AlphaGrep Securities,null,null,"['Siddharth Sawant', 'karan singh', 'Ravi Gupta']"
Alpha Nodus,null,null,['Shamit Patel']
Alt Carbon Tech,null,null,['Sadia Khanam']
altercarbon,null,null,"['Divya Bajpai', 'Md Sazil']"
Alyke,null,null,['Yash Shukla']
Ambient.ai,null,null,['Vikesh Khanna']
Amifi,null,null,['Amit Kumar Singh']
Amplemarket,null,null,"['Luis Batalha', 'Micael Oliveira', 'Joao Batalha']"
Amplitude,null,null,"['Jake Eisner', 'Jimmy Chion']"
Amply,null,null,['Neil Parikh']
Anaxee Digital Runners,null,null,"['Nilesh Maheshwari', 'Arti Gupta Agrawal', 'Govind Agrawal']"
Andro Buddy Technologies,null,null,['Adnan Attar']
AngelList India,null,null,"['Hemant Menon', 'Aagam Shah', 'Nilesh Chetwani']"
Ankercloud Technologies,null,null,['Joshua Prabhakar']
ANSCER Robotics,null,null,"['Raghu Venkatesh', 'Ribin Mathew']"
Antler,null,null,"['Marita Reiersen Andersen', 'Jussi Salovaara', 'Vegard Medbø', 'Fridtjof Berge', 'Magnus Grimeland']"
Apna Jewellery,null,null,['Purushottam Kumar']
Apna Mart,null,null,['L J Raj Solay']
AppIncubator Technologies Pvt.Ltd,null,null,"['Prabitha Nair', 'Sruthi jishnu']"
Appleute,null,null,['Hanush Pillai']
Applore Technologies,null,null,"['sarthik bhan', 'Sumanta Paikaray', 'Tanay Singh']"
Aqtronics Technologies,null,null,['Sumanth J']
AreteMinds Technologies,null,null,"['Akshatha R', 'Sushmita Binkadakatti', 'Sweta Kumari']"
Aridhi Solar Solutions,null,null,['Rohan Sharma']
Ariksa,null,null,['Badri Venkatachari']
Arintra,null,null,"['HealthCloud AI', 'Nitesh Shroff', 'Preeti Bhargava']"
ARLARSE,null,null,"['Inkita Agrawal', 'SHRAY SALVI', 'Utkarsh Kalawat']"
AroundU,null,null,"['Max Reed', 'Sterling McBride', 'Nicholas Surguladze']"
Artefact,null,null,"['Reed Van Dyck', 'Paige Ormiston', 'Diane Ly']"
Artesian Software Technologies,null,null,['Amit Sharma']
Arthtattva Technologies,null,null,['Prakash Hemani']
Arting Digital,null,null,"['Harsimrat Kaur', 'Davinder Pal', 'Harleen Kaur']"
Artium Academy,null,null,"['Shruti Jadhav', 'Nandini Ickarath', 'Gokul Kanthaswamy']"
Artos Software,null,null,['Kartik Luke Singh']
Arusto,null,null,['Yuvraj Singh']
Aryng,null,null,['Piyanka Jain']
Asakiri,null,null,['Alok Singh']
Ascendeum,null,null,"['Rupjyoti Kalita', 'Ramesh Suthar', 'prateek kumar']"
Asha Health,null,null,['Gokul Kumarresen']
Asiatic Traders,null,null,['Akshay Vasudeo Raikwar']
AssetIntel,null,null,['Malav Kanani']
Assiduus,null,null,['Ojaswini B.']
Assist AI,null,null,['Yash Garg']
Assystant,null,null,"['Kiran Dora', 'Kiranbala Dora', 'HARI HARAN CN']"
Astrotalk,null,null,['AstroTalk Online']
Astute Lex Servicado,null,null,['Onkar Rana']
Astuto,null,null,['Sudhakar Gorti']
Asynq AI,null,null,['Vaibhav Nandwani']
ATLAS ANALYTICS,null,null,"['Justin Distler', 'Fatih Can', 'Panagiotis Kokmotos']"
ATOFON TECH,null,null,['atofon tech private limited']
Atomberg Technologies,null,null,['sibabrata das']
Attento Technologies,null,null,['Ravi Iyer']
Aumbre,null,null,['Aditi Choudhary']
AuraX,null,null,['Fahmi Ben Khlifa']
AuthenCIO,null,null,['Adarsh A']
AutoFlow,null,null,"['Cody Fraley', 'Ramesh Venkataraman']"
AutopilotAI,null,null,['Khush Patel']
AutoVRse,null,null,"['Adarsh Muthappa', 'Ashwin Jaishanker']"
Auxilium,null,null,"['Sahil Abbas', 'Ray Rhayan Calma Jr.', 'Andrew Abney']"
auxilium real estate,null,null,['Priyansh Dwivedi']
AuxoAI,null,null,"['Nikhil Pathiyil', 'Pranjal Sarin', 'Ayush Raj']"
Avacasa,null,null,['Praveen Hatti']
Avani Infosoft,null,null,['Nanditha G']
Aventior,null,null,['Abhijit Ray']
AvePoint,null,null,"['Anthony Williams', 'Conor Dean', 'Peter Cook']"
Avijo,null,null,"['Aditya parkhe', 'Mayank Sharma']"
Avirait Technologies,null,null,['Avinash Hubale']
Ayuryuj,null,null,['arpit mehta']
Aztec,null,null,['Amanuel Zeryihun']
Badho,null,null,"['Bhavana Shivhare', 'Aman Raj', 'Manmohan Singh Charan']"
Bangrr International,null,null,['Ali Husain']
Barsys,null,null,['Akshet Tewari']
Barter Tech,null,null,['Priyadarshan Gupta']
Base.com,null,null,['Pradeep Sekhar Chandrasekaran']
BedR,null,null,['ASHLEY HUYNH']
Bedwellin,null,null,['Rodlyn Elneus']
Beesi,null,null,"['Beesi HR', 'Shalini Rameja']"
Be Raw,null,null,['Team Be Raw']
Better Marketing,null,null,['Jan Kutschera']
Better Software,null,null,['Bill Nussey']
Bharatcabs,null,null,['Prince Pratap Singh']
Bhumio,null,null,['Anurag S.']
Biizline,null,null,['Aanchal Patel']
Billion Hearts Software Technologies,null,null,"['Mayank Bidawatka', 'Gurteshwar Singh']"
BillionNexus Software,null,null,['Vineet Sagar']
Bimacred,null,null,['Shiva Shankar']
Binance,null,null,"['Khai Ying C.', 'Yuan Jie', 'jiaying chen']"
Binaryveda Software Solutions,null,null,['Binaryveda Software Solutions Pvt. Ltd.']
Bino,null,null,"['Kosemani Abiola', 'Tatiana Kuzub', 'Tomas Dausinas']"
Biosky Space Innovations,null,null,['Nimish Nama']
Bitfinex,null,null,"['Dianela H', 'Victoria Blau', 'Ricardo P.']"
BITFLEX Technology Advisors,null,null,"['V Kathyayani', 'Durga R', 'Srinivas Aki']"
BitOoda,null,null,"['Dhyay Bhatt', 'Niraj Yagnik']"
BizMobia,null,null,"['bizmobia software', 'Nadir Murtaza']"
bl0xchain,null,null,"['Greg DSouza', 'Gregory DSouza']"
Black Unicorn Digital Solutions,null,null,['null']
Blinkins Media,null,null,['Jiten Khatri']
Blitzy,null,null,['Nick DiFiore']
